ID,suburb,state,postcode
1,Melbourne,VIC,3000
2,Melbourne,VIC,3001
3,East Melbourne,VIC,3002
4,West Melbourne,VIC,3003
5,Melbourne,VIC,3004
6,South Wharf,VIC,3006
7,Docklands,VIC,3008
8,University Of Melbourne,VIC,3010
9,Footscray,VIC,3011
10,Seddon,VIC,3011
11,Seddon West,VIC,3011
12,Brooklyn,VIC,3012
13,Kingsville,VIC,3012
14,Maidstone,VIC,3012
15,Tottenham,VIC,3012
16,West Footscray,VIC,3012
17,Newport,VIC,3015
18,South Kingsville,VIC,3015
19,Spotswood,VIC,3015
20,Williamstown,VIC,3016
21,Altona,VIC,3018
22,Seaholme,VIC,3018
23,Braybrook,VIC,3019
24,Albion,VIC,3020
25,Sunshine,VIC,3020
26,Sunshine West,VIC,3020
27,Albanvale,VIC,3021
28,Kealba,VIC,3021
29,Kings Park,VIC,3021
30,St Albans,VIC,3021
31,Ardeer,VIC,3022
32,Deer Park East,VIC,3022
33,Burnside,VIC,3023
34,Burnside Heights,VIC,3023
35,Cairnlea,VIC,3023
36,Caroline Springs,VIC,3023
37,Deer Park,VIC,3023
38,Deer Park North,VIC,3023
39,Ravenhall,VIC,3023
40,Fieldstone,VIC,3024
41,Mambourin,VIC,3024
42,Manor Lakes,VIC,3024
43,Mount Cottrell,VIC,3024
44,Wyndham Vale,VIC,3024
45,Altona East,VIC,3025
46,Altona Gate,VIC,3025
47,Altona North,VIC,3025
48,Derrimut,VIC,3026
49,Laverton North,VIC,3026
50,Williams Landing,VIC,3027
51,Altona Meadows,VIC,3028
52,Laverton,VIC,3028
53,Seabrook,VIC,3028
54,Tarneit,VIC,3029
55,Truganina,VIC,3029
56,Cocoroc,VIC,3030
57,Point Cook,VIC,3030
58,Quandong,VIC,3030
59,Werribee,VIC,3030
60,Werribee South,VIC,3030
61,Flemington,VIC,3031
62,Kensington,VIC,3031
63,Ascot Vale,VIC,3032
64,Maribyrnong,VIC,3032
65,Travancore,VIC,3032
66,Keilor East,VIC,3033
67,Keilor,VIC,3036
68,Keilor North,VIC,3036
69,Calder Park,VIC,3037
70,Delahey,VIC,3037
71,Hillside,VIC,3037
72,Sydenham,VIC,3037
73,Taylors Hill,VIC,3037
74,Keilor Downs,VIC,3038
75,Keilor Lodge,VIC,3038
76,Taylors Lakes,VIC,3038
77,Watergardens,VIC,3038
78,Moonee Ponds,VIC,3039
79,Aberfeldie,VIC,3040
80,Essendon,VIC,3040
81,Essendon West,VIC,3040
82,Essendon Fields,VIC,3041
83,Essendon North,VIC,3041
84,Strathmore,VIC,3041
85,Airport West,VIC,3042
86,Keilor Park,VIC,3042
87,Niddrie,VIC,3042
88,Gladstone Park,VIC,3043
89,Gowanbrae,VIC,3043
90,Tullamarine,VIC,3043
91,Pascoe Vale,VIC,3044
92,Melbourne Airport,VIC,3045
93,Glenroy,VIC,3046
94,Hadfield,VIC,3046
95,Oak Park,VIC,3046
96,Broadmeadows,VIC,3047
97,Dallas,VIC,3047
98,Jacana,VIC,3047
99,Coolaroo,VIC,3048
100,Meadow Heights,VIC,3048
101,Attwood,VIC,3049
102,Westmeadows,VIC,3049
103,Royal Melbourne Hospital,VIC,3050
104,Hotham Hill,VIC,3051
105,Melbourne University,VIC,3052
106,Parkville,VIC,3052
107,Carlton,VIC,3053
108,Carlton South,VIC,3053
109,Carlton North,VIC,3054
110,Princes Hill,VIC,3054
111,Brunswick South,VIC,3055
112,Brunswick West,VIC,3055
113,Moonee Vale,VIC,3055
114,Moreland West,VIC,3055
115,Brunswick,VIC,3056
116,Brunswick North,VIC,3056
117,Brunswick East,VIC,3057
118,Sumner,VIC,3057
119,Batman,VIC,3058
120,Coburg,VIC,3058
121,Coburg North,VIC,3058
122,Merlynston,VIC,3058
123,Moreland,VIC,3058
124,Greenvale,VIC,3059
125,Fawkner,VIC,3060
126,Campbellfield,VIC,3061
127,Somerton,VIC,3062
128,Yuroke,VIC,3063
129,Craigieburn,VIC,3064
130,Donnybrook,VIC,3064
131,Kalkallo,VIC,3064
132,Mickleham,VIC,3064
133,Roxburgh Park,VIC,3064
134,Fitzroy,VIC,3065
135,Collingwood,VIC,3066
136,Abbotsford,VIC,3067
137,Clifton Hill,VIC,3068
138,Fitzroy North,VIC,3068
139,Northcote,VIC,3070
140,Thornbury,VIC,3071
141,Gilberton,VIC,3072
142,Preston,VIC,3072
143,Preston South,VIC,3072
144,Preston West,VIC,3072
145,Regent West,VIC,3072
146,Reservoir,VIC,3073
147,Thomastown,VIC,3074
148,Lalor,VIC,3075
149,Epping,VIC,3076
150,Alphington,VIC,3078
151,Fairfield,VIC,3078
152,Ivanhoe,VIC,3079
153,Ivanhoe East,VIC,3079
154,Ivanhoe North,VIC,3079
155,Bellfield,VIC,3081
156,Heidelberg West,VIC,3081
157,Mill Park,VIC,3082
158,Bundoora,VIC,3083
159,Kingsbury,VIC,3083
160,La Trobe University,VIC,3083
161,Banyule,VIC,3084
162,Eaglemont,VIC,3084
163,Heidelberg,VIC,3084
164,Rosanna,VIC,3084
165,Viewbank,VIC,3084
166,Macleod,VIC,3085
167,Macleod West,VIC,3085
168,Yallambie,VIC,3085
169,Watsonia,VIC,3087
170,Watsonia North,VIC,3087
171,Briar Hill,VIC,3088
172,Greensborough,VIC,3088
173,St Helena,VIC,3088
174,Diamond Creek,VIC,3089
175,Plenty,VIC,3090
176,Yarrambat,VIC,3091
177,Lower Plenty,VIC,3093
178,Montmorency,VIC,3094
179,Eltham,VIC,3095
180,Eltham North,VIC,3095
181,Research,VIC,3095
182,Wattle Glen,VIC,3096
183,Bend Of Islands,VIC,3097
184,Watsons Creek,VIC,3097
185,Cottles Bridge,VIC,3099
186,Hurstbridge,VIC,3099
187,Nutfield,VIC,3099
188,Strathewen,VIC,3099
189,Cotham,VIC,3101
190,Kew,VIC,3101
191,Kew East,VIC,3102
192,Balwyn,VIC,3103
193,Balwyn East,VIC,3103
194,Deepdene,VIC,3103
195,Balwyn North,VIC,3104
196,Greythorn,VIC,3104
197,Bulleen,VIC,3105
198,Templestowe,VIC,3106
199,Doncaster,VIC,3108
200,Doncaster East,VIC,3109
201,Donvale,VIC,3111
202,Warrandyte,VIC,3113
203,Park Orchards,VIC,3114
204,Wonga Park,VIC,3115
205,Chirnside Park,VIC,3116
206,Burnley,VIC,3121
207,Burnley North,VIC,3121
208,Cremorne,VIC,3121
209,Richmond,VIC,3121
210,Richmond East,VIC,3121
211,Richmond North,VIC,3121
212,Richmond South,VIC,3121
213,Auburn South,VIC,3122
214,Glenferrie South,VIC,3122
215,Hawthorn,VIC,3122
216,Hawthorn North,VIC,3122
217,Hawthorn West,VIC,3122
218,Auburn,VIC,3123
219,Hawthorn East,VIC,3123
220,Camberwell,VIC,3124
221,Camberwell North,VIC,3124
222,Camberwell South,VIC,3124
223,Camberwell West,VIC,3124
224,Hartwell,VIC,3124
225,Burwood,VIC,3125
226,Camberwell East,VIC,3126
227,Canterbury,VIC,3126
228,Mont Albert,VIC,3127
229,Surrey Hills,VIC,3127
230,Box Hill,VIC,3128
231,Box Hill South,VIC,3128
232,Wattle Park,VIC,3128
233,Box Hill North,VIC,3129
234,Kerrimuir,VIC,3129
235,Blackburn,VIC,3130
236,Blackburn North,VIC,3130
237,Blackburn South,VIC,3130
238,Laburnum,VIC,3130
239,Forest Hill,VIC,3131
240,Nunawading,VIC,3131
241,Mitcham,VIC,3132
242,Mitcham North,VIC,3132
243,Vermont,VIC,3133
244,Vermont South,VIC,3133
245,Heathwood,VIC,3134
246,Ringwood,VIC,3134
247,Ringwood North,VIC,3134
248,Warranwood,VIC,3134
249,Bedford Road,VIC,3135
250,Heathmont,VIC,3135
251,Ringwood East,VIC,3135
252,Croydon,VIC,3136
253,Croydon Hills,VIC,3136
254,Croydon North,VIC,3136
255,Croydon South,VIC,3136
256,Kilsyth,VIC,3137
257,Kilsyth South,VIC,3137
258,Mooroolbark,VIC,3138
259,Beenak,VIC,3139
260,Don Valley,VIC,3139
261,Hoddles Creek,VIC,3139
262,Launching Place,VIC,3139
263,Seville,VIC,3139
264,Seville East,VIC,3139
265,Wandin East,VIC,3139
266,Wandin North,VIC,3139
267,Woori Yallock,VIC,3139
268,Yellingbo,VIC,3139
269,Lilydale,VIC,3140
270,South Yarra,VIC,3141
271,Hawksburn,VIC,3142
272,Toorak,VIC,3142
273,Armadale,VIC,3143
274,Kooyong,VIC,3144
275,Malvern,VIC,3144
276,Caulfield East,VIC,3145
277,Central Park,VIC,3145
278,Darling,VIC,3145
279,Malvern East,VIC,3145
280,Glen Iris,VIC,3146
281,Ashburton,VIC,3147
282,Ashwood,VIC,3147
283,Chadstone,VIC,3148
284,Holmesglen,VIC,3148
285,Mount Waverley,VIC,3149
286,Pinewood,VIC,3149
287,Syndal,VIC,3149
288,Brandon Park,VIC,3150
289,Glen Waverley,VIC,3150
290,Wheelers Hill,VIC,3150
291,Burwood East,VIC,3151
292,Burwood Heights,VIC,3151
293,Knox City Centre,VIC,3152
294,Studfield,VIC,3152
295,Wantirna,VIC,3152
296,Wantirna South,VIC,3152
297,Bayswater,VIC,3153
298,Bayswater North,VIC,3153
299,The Basin,VIC,3154
300,Boronia,VIC,3155
301,Ferntree Gully,VIC,3156
302,Mountain Gate,VIC,3156
303,Upwey,VIC,3158
304,Menzies Creek,VIC,3159
305,Selby,VIC,3159
306,Belgrave,VIC,3160
307,Belgrave Heights,VIC,3160
308,Belgrave South,VIC,3160
309,Tecoma,VIC,3160
310,Caulfield North,VIC,3161
311,Caulfield,VIC,3162
312,Caulfield South,VIC,3162
313,Carnegie,VIC,3163
314,Glen Huntly,VIC,3163
315,Murrumbeena,VIC,3163
316,Dandenong South,VIC,3164
317,Bentleigh East,VIC,3165
318,Hughesdale,VIC,3166
319,Huntingdale,VIC,3166
320,Oakleigh,VIC,3166
321,Oakleigh East,VIC,3166
322,Oakleigh South,VIC,3167
323,Clayton,VIC,3168
324,Notting Hill,VIC,3168
325,Clarinda,VIC,3169
326,Clayton South,VIC,3169
327,Mulgrave,VIC,3170
328,Sandown Village,VIC,3171
329,Springvale,VIC,3171
330,Dingley Village,VIC,3172
331,Springvale South,VIC,3172
332,Keysborough,VIC,3173
333,Noble Park,VIC,3174
334,Noble Park North,VIC,3174
335,Bangholme,VIC,3175
336,Dandenong,VIC,3175
337,Dandenong East,VIC,3175
338,Dandenong North,VIC,3175
339,Dandenong South,VIC,3175
340,Dunearn,VIC,3175
341,Scoresby Bc,VIC,3176
342,Doveton,VIC,3177
343,Eumemmerring,VIC,3177
344,Rowville,VIC,3178
345,Scoresby,VIC,3179
346,Knoxfield,VIC,3180
347,Prahran,VIC,3181
348,Prahran East,VIC,3181
349,Windsor,VIC,3181
350,St Kilda,VIC,3182
351,St Kilda South,VIC,3182
352,St Kilda West,VIC,3182
353,Balaclava,VIC,3183
354,St Kilda East,VIC,3183
355,Brighton Road,VIC,3184
356,Elwood,VIC,3184
357,Elsternwick,VIC,3185
358,Gardenvale,VIC,3185
359,Ripponlea,VIC,3185
360,Brighton,VIC,3186
361,Brighton North,VIC,3186
362,Dendy,VIC,3186
363,Were Street Po,VIC,3186
364,Brighton East,VIC,3187
365,North Road,VIC,3187
366,Hampton,VIC,3188
367,Hampton East,VIC,3188
368,Hampton North,VIC,3188
369,Moorabbin,VIC,3189
370,Moorabbin East,VIC,3189
371,Wishart,VIC,3189
372,Highett,VIC,3190
373,Sandringham,VIC,3191
374,Cheltenham,VIC,3192
375,Cheltenham East,VIC,3192
376,Beaumaris,VIC,3193
377,Black Rock,VIC,3193
378,Cromer,VIC,3193
379,Mentone,VIC,3194
380,Mentone East,VIC,3194
381,Aspendale,VIC,3195
382,Aspendale Gardens,VIC,3195
383,Braeside,VIC,3195
384,Mordialloc,VIC,3195
385,Parkdale,VIC,3195
386,Waterways,VIC,3195
387,Bonbeach,VIC,3196
388,Chelsea,VIC,3196
389,Chelsea Heights,VIC,3196
390,Edithvale,VIC,3196
391,Carrum,VIC,3197
392,Patterson Lakes,VIC,3197
393,Seaford,VIC,3198
394,Frankston,VIC,3199
395,Frankston East,VIC,3199
396,Frankston Heights,VIC,3199
397,Frankston South,VIC,3199
398,Karingal Centre,VIC,3199
399,Frankston North,VIC,3200
400,Pines Forest,VIC,3200
401,Carrum Downs,VIC,3201
402,Heatherton,VIC,3202
403,Bentleigh,VIC,3204
404,Mckinnon,VIC,3204
405,Ormond,VIC,3204
406,Patterson,VIC,3204
407,Albert Park,VIC,3206
408,Middle Park,VIC,3206
409,Garden City,VIC,3207
410,Little River,VIC,3211
411,Avalon,VIC,3212
412,Lara,VIC,3212
413,Point Wilson,VIC,3212
414,Anakie,VIC,3213
415,Batesford,VIC,3213
416,Lovely Banks,VIC,3213
417,Moorabool,VIC,3213
418,Corio,VIC,3214
419,Norlane,VIC,3214
420,North Shore,VIC,3214
421,Bell Park,VIC,3215
422,Bell Post Hill,VIC,3215
423,Drumcondra,VIC,3215
424,Geelong North,VIC,3215
425,Hamlyn Heights,VIC,3215
426,North Geelong,VIC,3215
427,Rippleside,VIC,3215
428,Belmont,VIC,3216
429,Grovedale,VIC,3216
430,Grovedale East,VIC,3216
431,Marshall,VIC,3216
432,Wandana Heights,VIC,3216
433,Waurn Ponds,VIC,3216
434,Armstrong Creek,VIC,3217
435,Charlemont,VIC,3217
436,Freshwater Creek,VIC,3217
437,Mount Duneed,VIC,3217
438,Fyansford,VIC,3218
439,Geelong West,VIC,3218
440,Herne Hill,VIC,3218
441,Manifold Heights,VIC,3218
442,Murgheboluc,VIC,3218
443,Stonehaven,VIC,3218
444,Breakwater,VIC,3219
445,East Geelong,VIC,3219
446,Newcomb,VIC,3219
447,St Albans Park,VIC,3219
448,Thomson,VIC,3219
449,Whittington,VIC,3219
450,Bareena,VIC,3220
451,Geelong,VIC,3220
452,Newtown,VIC,3220
453,South Geelong,VIC,3220
454,Barrabool,VIC,3221
455,Ceres,VIC,3221
456,Gnarwarre,VIC,3221
457,Clifton Springs,VIC,3222
458,Curlewis,VIC,3222
459,Drysdale,VIC,3222
460,Mannerim,VIC,3222
461,Marcus Hill,VIC,3222
462,Wallington,VIC,3222
463,Bellarine,VIC,3223
464,Indented Head,VIC,3223
465,Portarlington,VIC,3223
466,Leopold,VIC,3224
467,Moolap,VIC,3224
468,Point Lonsdale,VIC,3225
469,Queenscliff,VIC,3225
470,Swan Island,VIC,3225
471,Ocean Grove,VIC,3226
472,Barwon Heads,VIC,3227
473,Breamlea,VIC,3227
474,Connewarre,VIC,3227
475,Bellbrae,VIC,3228
476,Bells Beach,VIC,3228
477,Jan Juc,VIC,3228
478,Torquay,VIC,3228
479,Anglesea,VIC,3230
480,Aireys Inlet,VIC,3231
481,Big Hill,VIC,3231
482,Eastern View,VIC,3231
483,Fairhaven,VIC,3231
484,Moggs Creek,VIC,3231
485,Lorne,VIC,3232
486,Apollo Bay,VIC,3233
487,Cape Otway,VIC,3233
488,Marengo,VIC,3233
489,Petticoat Creek,VIC,3233
490,Skenes Creek,VIC,3233
491,Grey River,VIC,3234
492,Kennett River,VIC,3234
493,Separation Creek,VIC,3234
494,Sugarloaf,VIC,3234
495,Wongarra,VIC,3234
496,Wye River,VIC,3234
497,Boonah,VIC,3235
498,Deans Marsh,VIC,3235
499,Pennyroyal,VIC,3235
500,Forrest,VIC,3236
501,Mount Sabine,VIC,3236
502,Aire Valley,VIC,3237
503,Beech Forest,VIC,3237
504,Ferguson,VIC,3237
505,Wattle Hill,VIC,3237
506,Weeaproinah,VIC,3237
507,Wyelangta,VIC,3237
508,Yuulong,VIC,3237
509,Glenaire,VIC,3238
510,Hordern Vale,VIC,3238
511,Johanna,VIC,3238
512,Lavers Hill,VIC,3238
513,Carlisle River,VIC,3239
514,Chapple Vale,VIC,3239
515,Gellibrand,VIC,3239
516,Kennedys Creek,VIC,3239
517,Buckley,VIC,3240
518,Gherang,VIC,3240
519,Modewarre,VIC,3240
520,Moriac,VIC,3240
521,Mount Moriac,VIC,3240
522,Paraparap,VIC,3240
523,Bambra,VIC,3241
524,Ombersley,VIC,3241
525,Wensleydale,VIC,3241
526,Winchelsea,VIC,3241
527,Wurdiboluc,VIC,3241
528,Birregurra,VIC,3242
529,Barwon Downs,VIC,3243
530,Murroon,VIC,3243
531,Warncoort,VIC,3243
532,Whoorel,VIC,3243
533,Alvie,VIC,3249
534,Balintore,VIC,3249
535,Barongarook,VIC,3249
536,Barramunga,VIC,3249
537,Coragulac,VIC,3249
538,Corunnun,VIC,3249
539,Dreeite,VIC,3249
540,Dreeite South,VIC,3249
541,Irrewarra,VIC,3249
542,Irrewillipe,VIC,3249
543,Irrewillipe East,VIC,3249
544,Kawarren,VIC,3249
545,Larpent,VIC,3249
546,Nalangil,VIC,3249
547,Ondit,VIC,3249
548,Pirron Yallock,VIC,3249
549,Pomborneit East,VIC,3249
550,Swan Marsh,VIC,3249
551,Tanybryn,VIC,3249
552,Warrion,VIC,3249
553,Wool Wool,VIC,3249
554,Yeo,VIC,3249
555,Yeodene,VIC,3249
556,Colac,VIC,3250
557,Colac East,VIC,3250
558,Colac West,VIC,3250
559,Elliminyt,VIC,3250
560,Beeac,VIC,3251
561,Cundare,VIC,3251
562,Cundare North,VIC,3251
563,Eurack,VIC,3251
564,Weering,VIC,3251
565,Cororooke,VIC,3254
566,Bookaar,VIC,3260
567,Bostocks Creek,VIC,3260
568,Bungador,VIC,3260
569,Camperdown,VIC,3260
570,Carpendeit,VIC,3260
571,Chocolyn,VIC,3260
572,Gnotuk,VIC,3260
573,Kariah,VIC,3260
574,Koallah,VIC,3260
575,Leslie Manor,VIC,3260
576,Pomborneit,VIC,3260
577,Skibo,VIC,3260
578,Stonyford,VIC,3260
579,Tandarook,VIC,3260
580,Tesbury,VIC,3260
581,Weerite,VIC,3260
582,Terang,VIC,3264
583,Boorcan,VIC,3265
584,Cudgee,VIC,3265
585,Dixie,VIC,3265
586,Ecklin South,VIC,3265
587,Ellerslie,VIC,3265
588,Framlingham,VIC,3265
589,Garvoc,VIC,3265
590,Kolora,VIC,3265
591,Laang,VIC,3265
592,Noorat,VIC,3265
593,Noorat East,VIC,3265
594,Panmure,VIC,3265
595,Taroon,VIC,3265
596,Bullaharre,VIC,3266
597,Cobden,VIC,3266
598,Cobrico,VIC,3266
599,Elingamite,VIC,3266
600,Elingamite North,VIC,3266
601,Glenfyne,VIC,3266
602,Naroghid,VIC,3266
603,Simpson,VIC,3266
604,Scotts Creek,VIC,3267
605,Ayrford,VIC,3268
606,Brucknell,VIC,3268
607,Cooriemungle,VIC,3268
608,Cowleys Creek,VIC,3268
609,Curdies River,VIC,3268
610,Curdievale,VIC,3268
611,Nirranda,VIC,3268
612,Nirranda East,VIC,3268
613,Nirranda South,VIC,3268
614,Nullawarre,VIC,3268
615,Paaratte,VIC,3268
616,The Cove,VIC,3268
617,Timboon,VIC,3268
618,Timboon West,VIC,3268
619,Port Campbell,VIC,3269
620,Princetown,VIC,3269
621,Waarre,VIC,3269
622,Peterborough,VIC,3270
623,Darlington,VIC,3271
624,Dundonnell,VIC,3271
625,Pura Pura,VIC,3271
626,Mortlake,VIC,3272
627,Woorndoo,VIC,3272
628,Hexham,VIC,3273
629,Caramut,VIC,3274
630,Mailors Flat,VIC,3275
631,Minjah,VIC,3276
632,Woolsthorpe,VIC,3276
633,Allansford,VIC,3277
634,Mepunga,VIC,3277
635,Mepunga East,VIC,3277
636,Mepunga West,VIC,3277
637,Naringal,VIC,3277
638,Naringal East,VIC,3277
639,Purnim,VIC,3278
640,Purnim West,VIC,3278
641,Ballangeich,VIC,3279
642,Wangoom,VIC,3279
643,Dennington,VIC,3280
644,Warrnambool,VIC,3280
645,Bushfield,VIC,3281
646,Grassmere,VIC,3281
647,Winslow,VIC,3281
648,Woodford,VIC,3281
649,Illowa,VIC,3282
650,Koroit,VIC,3282
651,Crossley,VIC,3283
652,Killarney,VIC,3283
653,Kirkstall,VIC,3283
654,Southern Cross,VIC,3283
655,Tarrone,VIC,3283
656,Tower Hill,VIC,3283
657,Warrong,VIC,3283
658,Willatook,VIC,3283
659,Yangery,VIC,3283
660,Yarpturk,VIC,3283
661,Orford,VIC,3284
662,Port Fairy,VIC,3284
663,Codrington,VIC,3285
664,Narrawong,VIC,3285
665,Rosebrook,VIC,3285
666,St Helens,VIC,3285
667,Toolong,VIC,3285
668,Tyrendarra,VIC,3285
669,Tyrendarra East,VIC,3285
670,Yambuk,VIC,3285
671,Condah Swamp,VIC,3286
672,Knebsworth,VIC,3286
673,Macarthur,VIC,3286
674,Warrabkook,VIC,3286
675,Hawkesdale,VIC,3287
676,Minhamite,VIC,3287
677,Gazette,VIC,3289
678,Gerrigerrup,VIC,3289
679,Penshurst,VIC,3289
680,Purdeet,VIC,3289
681,Tabor,VIC,3289
682,Glenthompson,VIC,3293
683,Nareeb,VIC,3293
684,Dunkeld,VIC,3294
685,Karabeal,VIC,3294
686,Mirranatwa,VIC,3294
687,Moutajup,VIC,3294
688,Victoria Point,VIC,3294
689,Victoria Valley,VIC,3294
690,Woodhouse,VIC,3294
691,Byaduk North,VIC,3300
692,Hamilton,VIC,3300
693,Bochara,VIC,3301
694,Broadwater,VIC,3301
695,Buckley Swamp,VIC,3301
696,Byaduk,VIC,3301
697,Croxton East,VIC,3301
698,Hensley Park,VIC,3301
699,Morgiana,VIC,3301
700,Mount Napier,VIC,3301
701,Strathkellar,VIC,3301
702,Tahara,VIC,3301
703,Tarrington,VIC,3301
704,Wannon,VIC,3301
705,Warrayure,VIC,3301
706,Yatchaw,VIC,3301
707,Yulecart,VIC,3301
708,Branxholme,VIC,3302
709,Grassdale,VIC,3302
710,Breakaway Creek,VIC,3303
711,Condah,VIC,3303
712,Hotspur,VIC,3303
713,Lake Condah,VIC,3303
714,Wallacedale,VIC,3303
715,Bessiebelle,VIC,3304
716,Dartmoor,VIC,3304
717,Drik Drik,VIC,3304
718,Drumborg,VIC,3304
719,Greenwald,VIC,3304
720,Heywood,VIC,3304
721,Homerton,VIC,3304
722,Milltown,VIC,3304
723,Mumbannar,VIC,3304
724,Myamyn,VIC,3304
725,Winnap,VIC,3304
726,Allestree,VIC,3305
727,Bolwarra,VIC,3305
728,Cashmore,VIC,3305
729,Dutton Way,VIC,3305
730,Gorae,VIC,3305
731,Gorae West,VIC,3305
732,Heathmere,VIC,3305
733,Mount Richmond,VIC,3305
734,Portland,VIC,3305
735,Portland North,VIC,3305
736,Portland West,VIC,3305
737,Digby,VIC,3309
738,Merino,VIC,3310
